,adm1code,adm1_en,adm2code,adm2_en,IHSI_UNFPA_2019,IHSI_UNFPA_2019_female,IHSI_UNFPA_2019_male
0,HT01,West,HT0111,Port-au-Prince,1227540.3275701636,648353,579188
1,HT01,West,HT0112,Delmas,491434.22637939965,258526,232908
2,HT01,West,HT0113,Carrefour,635764.5620936875,333500,302263
3,HT01,West,HT0114,Petion-Ville,468525.07633685815,241407,227118
4,HT01,West,HT0115,Kenscoff,71408.47984193954,35608,35800
5,HT01,West,HT0116,Gressier,45323.25797024711,22541,22782
6,HT01,West,HT0117,Cite Soleil,329568.90705944377,168078,161491
7,HT01,West,HT0118,Tabarre,161982.35373297418,85544,76439
8,HT01,West,HT0121,Leogane,248430.42825933025,125081,123352
9,HT01,West,HT0122,Petit-Goave,215051.40653263722,106311,108741
10,HT01,West,HT0123,Grand-Goave,169714.69633100874,89555,80160
11,HT01,West,HT0131,Croix-Des-Bouquets,310367.19198561896,158269,152097
12,HT01,West,HT0132,Thomazeau,65847.32738886459,32191,33656
13,HT01,West,HT0133,Ganthier,77749.8617151363,38694,39056
14,HT01,West,HT0134,Cornillon / Grand Bois,74176.94906023376,36013,38163
15,HT01,West,HT0135,Fonds-Verrettes,62195.04656881173,30626,31569
16,HT01,West,HT0141,Arcahaie,162011.94864201327,80940,81072
17,HT01,West,HT0142,Cabaret,84849.94943824458,42716,42133
18,HT01,West,HT0151,Anse a Galets,77780.80184731355,38776,39006
19,HT01,West,HT0152,Pointe a Raquette,30482.75631027542,14631,15852
20,HT02,South-East,HT0211,Jacmel,264598.2984843206,133843,130756
21,HT02,South-East,HT0212,Marigot,105556.17285664864,55331,50224
22,HT02,South-East,HT0213,Cayes-Jacmel,57014.58240158369,29309,27707
23,HT02,South-East,HT0214,La Vallee,51473.96117924809,24476,26998
24,HT02,South-East,HT0221,Bainet,122589.30228215663,60095,62495
25,HT02,South-East,HT0222,Cotes de Fer,69292.92926598138,32692,36600
26,HT02,South-East,HT0231,Belle Anse,107322.01654091952,54574,52747
27,HT02,South-East,HT0232,Grand Gosier,24104.14850754501,12044,12060
28,HT02,South-East,HT0233,Thiotte,49351.89102014162,24673,24679
