,adm1code,adm1_en,IHSI_UNFPA_2019,IHSI_UNFPA_2019_female,IHSI_UNFPA_2019_male
0,HT01,West,5010205.555064201,2587360,2422846
1,HT02,South-East,893900.650357727,448111,445790
2,HT03,North,1159761.5977595127,589825,569932
3,HT04,North-East,444463.06778999936,221501,222966
4,HT05,Artibonite,2047152.543396276,1034065,1013085
5,HT06,Centre,845594.173591814,413649,431947
6,HT07,South,791084.9983051358,382084,409000
7,HT08,Grande'Anse,481065.31720535544,229914,251152
8,HT09,North-West,868580.5650393632,437975,430605
9,HT10,Nippes,351593.3031511559,167185,184409
