,factype,mga,ambulance,service_laboratory,num_beds,ambulance,full_time,adm1code,adm2code
0,7.0,3,3.0,1.0,,3.0,5.0,HT01,HT0111
1,3.0,1,3.0,1.0,25.0,3.0,18.0,HT01,HT0111
2,6.0,3,1.0,1.0,201.0,1.0,141.0,HT01,HT0111
3,5.0,3,3.0,1.0,7.0,3.0,13.0,HT01,HT0111
4,6.0,2,3.0,1.0,,3.0,10.0,HT01,HT0111
5,6.0,4,3.0,1.0,2.0,3.0,8.0,HT01,HT0111
6,5.0,2,3.0,2.0,5.0,3.0,5.0,HT01,HT0111
7,6.0,3,3.0,1.0,,3.0,6.0,HT01,HT0111
8,6.0,3,3.0,1.0,,3.0,5.0,HT01,HT0111
9,6.0,3,3.0,2.0,,3.0,2.0,HT01,HT0111
10,7.0,3,3.0,2.0,3.0,3.0,10.0,HT01,HT0111
11,6.0,3,3.0,2.0,,3.0,5.0,HT01,HT0111
12,4.0,3,1.0,1.0,7.0,1.0,17.0,HT01,HT0111
13,6.0,3,3.0,2.0,,3.0,12.0,HT01,HT0111
14,4.0,3,3.0,1.0,24.0,3.0,57.0,HT01,HT0111
15,6.0,2,1.0,1.0,12.0,1.0,9.0,HT01,HT0111
16,1.0,1,3.0,1.0,652.0,3.0,381.0,HT01,HT0111
17,4.0,3,3.0,1.0,30.0,3.0,97.0,HT01,HT0111
18,6.0,1,3.0,1.0,,3.0,40.0,HT01,HT0111
19,6.0,4,3.0,2.0,,3.0,4.0,HT01,HT0111
20,4.0,3,1.0,1.0,40.0,1.0,104.0,HT01,HT0111
21,4.0,1,1.0,1.0,60.0,1.0,63.0,HT01,HT0111
22,4.0,2,3.0,1.0,30.0,3.0,40.0,HT01,HT0111
23,6.0,1,3.0,2.0,,3.0,4.0,HT01,HT0111
24,6.0,2,3.0,1.0,,3.0,12.0,HT01,HT0111
25,6.0,3,3.0,1.0,,3.0,15.0,HT01,HT0111
26,6.0,2,,,,,,HT01,HT0111
27,6.0,4,1.0,1.0,30.0,1.0,57.0,HT01,HT0111
28,4.0,3,3.0,2.0,24.0,3.0,27.0,HT01,HT0111
29,4.0,3,3.0,1.0,13.0,3.0,35.0,HT01,HT0111
30,6.0,3,3.0,2.0,,3.0,7.0,HT01,HT0111
31,4.0,3,3.0,1.0,10.0,3.0,18.0,HT01,HT0111
32,6.0,4,3.0,1.0,,3.0,5.0,HT01,HT0111
33,6.0,4,3.0,1.0,,3.0,31.0,HT01,HT0111
34,4.0,3,3.0,1.0,9.0,3.0,46.0,HT01,HT0111
35,4.0,2,3.0,1.0,25.0,3.0,21.0,HT01,HT0111
36,6.0,3,3.0,1.0,,3.0,10.0,HT01,HT0111
37,6.0,1,3.0,1.0,,3.0,51.0,HT01,HT0111
38,6.0,4,3.0,1.0,,3.0,14.0,HT01,HT0111
39,5.0,3,3.0,1.0,,3.0,5.0,HT01,HT0111
40,6.0,4,3.0,2.0,2.0,3.0,2.0,HT01,HT0111
41,6.0,3,3.0,1.0,3.0,3.0,13.0,HT01,HT0111
42,6.0,3,3.0,1.0,,3.0,15.0,HT01,HT0111
43,4.0,3,3.0,1.0,8.0,3.0,9.0,HT01,HT0111
44,4.0,2,1.0,2.0,13.0,1.0,107.0,HT01,HT0111
45,6.0,2,3.0,1.0,,3.0,13.0,HT01,HT0111
46,6.0,2,3.0,1.0,1.0,3.0,11.0,HT01,HT0111
47,6.0,3,3.0,1.0,,3.0,3.0,HT01,HT0111
48,6.0,1,3.0,1.0,,3.0,42.0,HT01,HT0117
49,5.0,2,3.0,1.0,,3.0,19.0,HT01,HT0117
50,6.0,2,1.0,2.0,4.0,1.0,23.0,HT01,HT0117
51,4.0,2,1.0,1.0,40.0,1.0,119.0,HT01,HT0117
52,6.0,2,3.0,1.0,2.0,3.0,10.0,HT01,HT0117
53,4.0,2,3.0,2.0,,3.0,7.0,HT01,HT0117
54,4.0,1,2.0,1.0,97.0,2.0,55.0,HT01,HT0117
55,6.0,3,3.0,1.0,,3.0,6.0,HT01,HT0117
56,5.0,3,3.0,1.0,,3.0,10.0,HT01,HT0117
57,5.0,2,1.0,1.0,,1.0,10.0,HT01,HT0117
58,6.0,1,1.0,2.0,,1.0,5.0,HT01,HT0117
59,5.0,3,3.0,1.0,,3.0,16.0,HT01,HT0112
60,4.0,3,3.0,1.0,16.0,3.0,45.0,HT01,HT0112
61,4.0,4,2.0,1.0,15.0,2.0,76.0,HT01,HT0112
62,1.0,1,3.0,1.0,75.0,3.0,139.0,HT01,HT0112
63,4.0,1,1.0,1.0,60.0,1.0,202.0,HT01,HT0112
64,6.0,1,3.0,1.0,4.0,3.0,38.0,HT01,HT0112
65,6.0,2,3.0,1.0,,3.0,10.0,HT01,HT0112
66,4.0,3,1.0,1.0,50.0,1.0,165.0,HT01,HT0112
67,5.0,2,3.0,1.0,20.0,3.0,51.0,HT01,HT0112
68,6.0,1,3.0,1.0,,3.0,29.0,HT01,HT0112
69,6.0,3,3.0,1.0,,3.0,5.0,HT01,HT0112
70,6.0,2,3.0,1.0,,3.0,5.0,HT01,HT0112
71,6.0,4,3.0,1.0,,3.0,11.0,HT01,HT0112
72,6.0,2,3.0,1.0,25.0,3.0,15.0,HT01,HT0112
73,6.0,3,3.0,1.0,,3.0,7.0,HT01,HT0112
74,4.0,2,1.0,1.0,68.0,1.0,215.0,HT01,HT0112
75,1.0,1,3.0,1.0,140.0,3.0,303.0,HT01,HT0112
76,4.0,3,3.0,1.0,39.0,3.0,95.0,HT01,HT0112
77,4.0,2,2.0,1.0,8.0,2.0,28.0,HT01,HT0112
78,6.0,2,1.0,1.0,,1.0,15.0,HT01,HT0112
79,5.0,3,3.0,1.0,2.0,3.0,26.0,HT01,HT0112
80,5.0,3,3.0,2.0,1.0,3.0,6.0,HT01,HT0112
81,4.0,2,3.0,1.0,10.0,3.0,12.0,HT01,HT0112
82,6.0,2,3.0,1.0,,3.0,6.0,HT01,HT0112
83,4.0,2,1.0,1.0,,1.0,28.0,HT01,HT0112
84,6.0,3,3.0,1.0,,3.0,11.0,HT01,HT0112
85,5.0,3,1.0,2.0,,1.0,5.0,HT01,HT0112
86,6.0,3,3.0,1.0,5.0,3.0,12.0,HT01,HT0112
87,6.0,3,3.0,1.0,,3.0,3.0,HT01,HT0112
88,6.0,1,3.0,1.0,,3.0,61.0,HT01,HT0112
89,6.0,1,3.0,1.0,1.0,3.0,46.0,HT01,HT0112
90,6.0,3,3.0,1.0,,3.0,8.0,HT01,HT0112
91,6.0,3,3.0,1.0,,3.0,8.0,HT01,HT0118
92,4.0,2,3.0,1.0,20.0,3.0,41.0,HT01,HT0118
93,4.0,1,1.0,1.0,132.0,1.0,332.0,HT01,HT0118
94,4.0,2,3.0,1.0,87.0,3.0,88.0,HT01,HT0118
95,4.0,2,3.0,1.0,,3.0,3.0,HT01,HT0118
96,6.0,3,1.0,2.0,,1.0,4.0,HT01,HT0118
97,4.0,2,1.0,1.0,50.0,1.0,156.0,HT01,HT0118
98,4.0,4,3.0,1.0,33.0,3.0,43.0,HT01,HT0118
99,6.0,4,3.0,1.0,,3.0,17.0,HT01,HT0113
100,6.0,4,3.0,1.0,,3.0,3.0,HT01,HT0113
101,6.0,4,3.0,1.0,9.0,3.0,28.0,HT01,HT0113
102,5.0,3,3.0,1.0,3.0,3.0,13.0,HT01,HT0113
103,5.0,4,3.0,2.0,3.0,3.0,13.0,HT01,HT0113
104,5.0,3,3.0,1.0,,3.0,17.0,HT01,HT0113
105,6.0,1,3.0,2.0,,3.0,31.0,HT01,HT0113
106,4.0,3,3.0,1.0,25.0,3.0,65.0,HT01,HT0113
107,5.0,3,3.0,1.0,,3.0,9.0,HT01,HT0113
108,6.0,2,3.0,2.0,4.0,3.0,2.0,HT01,HT0113
109,5.0,3,3.0,1.0,4.0,3.0,15.0,HT01,HT0113
110,3.0,1,3.0,1.0,35.0,3.0,88.0,HT01,HT0113
111,1.0,3,1.0,1.0,24.0,1.0,93.0,HT01,HT0113
112,6.0,3,3.0,1.0,,3.0,31.0,HT01,HT0113
113,6.0,4,3.0,2.0,,3.0,10.0,HT01,HT0113
114,6.0,4,3.0,2.0,,3.0,8.0,HT01,HT0113
115,6.0,4,3.0,1.0,8.0,3.0,13.0,HT01,HT0113
116,5.0,3,3.0,2.0,6.0,3.0,6.0,HT01,HT0113
117,7.0,2,3.0,1.0,,3.0,19.0,HT01,HT0113
118,6.0,3,3.0,1.0,,3.0,5.0,HT01,HT0113
119,6.0,3,3.0,1.0,,3.0,16.0,HT01,HT0113
120,6.0,3,3.0,2.0,,3.0,4.0,HT01,HT0113
121,7.0,1,3.0,2.0,2.0,3.0,37.0,HT01,HT0113
122,6.0,2,3.0,1.0,,3.0,10.0,HT01,HT0113
123,6.0,3,3.0,2.0,,3.0,6.0,HT01,HT0113
124,7.0,1,3.0,2.0,,3.0,2.0,HT01,HT0113
125,6.0,3,3.0,1.0,,3.0,6.0,HT01,HT0113
126,3.0,1,3.0,1.0,49.0,3.0,135.0,HT01,HT0113
127,4.0,3,3.0,1.0,9.0,3.0,39.0,HT01,HT0114
128,6.0,4,3.0,1.0,,3.0,7.0,HT01,HT0114
129,6.0,3,3.0,2.0,,3.0,20.0,HT01,HT0114
130,6.0,4,3.0,1.0,,3.0,36.0,HT01,HT0114
131,4.0,3,,,,,,HT01,HT0114
132,3.0,1,3.0,1.0,26.0,3.0,43.0,HT01,HT0114
133,6.0,1,3.0,1.0,,3.0,14.0,HT01,HT0114
134,4.0,3,3.0,1.0,7.0,3.0,20.0,HT01,HT0114
135,6.0,4,3.0,1.0,,3.0,10.0,HT01,HT0114
136,4.0,3,3.0,1.0,8.0,3.0,24.0,HT01,HT0114
137,6.0,3,3.0,2.0,,3.0,4.0,HT01,HT0114
138,6.0,3,3.0,1.0,3.0,3.0,4.0,HT01,HT0114
139,6.0,3,3.0,1.0,4.0,3.0,13.0,HT01,HT0114
140,3.0,3,3.0,1.0,63.0,3.0,117.0,HT01,HT0114
141,6.0,1,3.0,1.0,,3.0,10.0,HT01,HT0114
142,7.0,3,3.0,2.0,4.0,3.0,19.0,HT01,HT0114
143,7.0,4,3.0,1.0,,3.0,8.0,HT01,HT0114
